Rank,Player,Age,Position,Team,G60,A60,PTS60,PlusMinus,PIM,PS,EV,PP,SH,GW,EVA,PPA,SHA,S60,Sper,AveTOI,BLKperGame,HITperGame,CF60,CA60,CFp,CFp rel,FF60,FA60,FFp,FFp rel,oiSHp,oiSVp,PDO,oZSp,dZSp,SAtt60,TK60,GV60,Thru
431,Nick Bjugstad,24,C,FLA,0.5915492958,0.5915492958,1.1830985915,-19,22,0.5,6,1,0,1,5,2,0,7.6901408451,7.7,13.15,0.1666666667,1.3333333333,45.549295775,52.985915493,46.2,-5.7,35.408450704,42.76056338,45.3,-6.3,5,91.7,96.7,55.5,44.5,13.014084507,1.7746478873,1.4366197183,59.1
432,Tim Schaller,26,C,BOS,0.5801104972,0.5801104972,1.1602209945,-6,23,1.1,7,0,0,2,7,0,0,7.3756906077,7.9,12.27,0.6440677966,1.2372881356,48.480662983,49.475138122,49.5,-7.2,35.801104972,36.215469613,49.7,-7.5,5.9,92.3,98.2,42.8,57.2,13.011049724,1.5745856354,1.4917127072,56.7
435,Carl Soderberg,31,C,COL,0.3345724907,0.4460966543,0.780669145,-26,22,-0.4,5,1,0,0,7,1,0,7.1375464684,4.7,13.45,0.525,0.425,43.159851301,49.739776952,46.5,-3.2,31.728624535,36.970260223,46.2,-2.4,5.9,90.2,96.1,47,53,11.710037175,1.6728624535,1.0594795539,60
438,Luke Glendening,27,C,DET,0.1882845188,0.690376569,0.8786610879,-10,26,0,3,0,0,0,10,1,0,4.769874477,3.9,12.92,0.8378378378,2.027027027,35.523012552,47.071129707,43,-6.8,27.615062762,34.267782427,44.6,-4.6,5.8,92.7,98.4,33.9,66.1,7.719665272,1.1924686192,0.7531380753,62.6
448,Matthew Nieto,24,LW,TOT,0.4767309875,0.4086265607,0.8853575482,-12,8,0.4,7,0,0,1,5,0,1,5.788876277,8.2,14.93,0.5762711864,0.6779661017,46.787741203,43.04199773,52.1,1,34.188422247,32.894438138,51,1,4.5,92,96.5,48.3,51.7,8.7173666288,1.9069239501,1.2258796822,65.6
449,Ryan Reaves,30,RW,STL,0.5907172996,0.5063291139,1.0970464135,4,104,1.2,7,0,0,1,6,0,0,4.8945147679,12.1,8.89,0.325,2.9875,44.810126582,52.405063291,46.1,-4.4,33.839662447,38.396624473,46.8,-3.9,8.6,93.3,101.9,25.7,74.3,8.776371308,0.9282700422,0.3375527426,54.8
450,Lukas Sedlak,23,LW,CBJ,0.6965174129,0.5970149254,1.2935323383,10,25,1.6,6,0,1,0,6,0,0,5.671641791,12.3,9.73,0.4516129032,1.064516129,51.144278607,46.965174129,52.1,3.1,38.009950249,33.333333333,53.3,4.2,9.3,92.7,101.9,46.5,53.5,11.44278607,1.4925373134,0.9950248756,48.7
455,Tyler Ennis,27,LW,BUF,0.4580152672,0.7328244275,1.1908396947,-10,12,0.6,5,0,0,1,5,3,0,8.1526717557,5.6,12.84,0.4509803922,0.8823529412,48.641221374,51.389312977,48.6,1.4,36.916030534,39.114503817,48.6,1.1,4.5,92.6,97.1,51.5,48.5,13.282442748,1.7404580153,1.5572519084,61.4
465,Riley Sheahan,25,C,DET,0.1073345259,0.5903398927,0.6976744186,-29,14,-1.2,1,1,0,0,9,2,0,5.8497316637,1.8,13.98,0.475,1.0125,41.538461538,48.300536673,46.2,-2.9,32.093023256,36.601073345,46.7,-2.3,5.4,90,95.5,47,53,10.572450805,1.0733452594,1.1806797853,55.3
466,Nic Petan,21,LW,WPG,0.1018675722,1.2224108659,1.324278438,-13,12,-0.1,1,0,0,0,4,8,0,5.8064516129,1.8,10.91,0.1851851852,0.2222222222,38.607809847,39.932088285,49.2,-0.2,27.40237691,29.032258065,48.6,-1.2,5.1,90.7,95.7,55.5,44.5,11.001697793,1.6298811545,1.8336162988,52.8
471,Joakim Nordstrom,24,LW,CAR,0.4026845638,0.2876318313,0.690316395,-12,17,0,6,0,1,2,5,0,0,5.9827420901,6.7,12.72,0.5,1.8048780488,43.777564717,46.021093001,48.8,-3.1,32.617449664,33.595397891,49.3,-1.4,4.3,92.5,96.8,48.6,51.4,10.642377756,1.5532118888,1.2080536913,56.2
472,Tommy Wingels,28,C,TOT,0.5475880052,0.3911342894,0.9387222947,-11,27,0.4,7,0,0,2,5,0,0,6.3363754889,8.6,10.51,0.6301369863,1.7123287671,46.232073012,50.925684485,47.6,-3.4,33.950456323,34.889178618,49.3,-2.1,5.7,90.2,95.9,53.4,46.6,9.074315515,1.0169491525,1.1734028683,69.8
473,Kyle Clifford,26,LW,LAK,0.4597701149,0.4597701149,0.9195402299,-2,92,0.9,6,0,0,0,6,0,0,9.3486590038,4.9,10.73,0.095890411,2,57.318007663,43.448275862,56.9,2.9,41.992337165,31.264367816,57.3,3.9,4.2,93.8,98,59,41,15.249042146,1.3026819923,0.5363984674,61.3
476,Lawson Crouse,19,LW,ARI,0.3504672897,0.4906542056,0.8411214953,-20,48,-0.3,4,0,1,2,7,0,0,5.8878504673,6,11.89,0.4027777778,2.2222222222,44.64953271,54.462616822,45,-0.5,34.976635514,40.864485981,46.1,1.5,4.9,90.6,95.5,36.9,63.1,10.864485981,0.9813084112,0.3504672897,54.2
478,Chris Kelly,36,C,OTT,0.3064351379,0.4290091931,0.7354443309,-17,23,-0.4,4,0,1,2,7,0,0,5.2093973442,5.9,11.94,0.5853658537,0.8658536585,35.423901941,50.37793667,41.3,-8.7,26.475995914,35.423901941,42.8,-7.4,4.2,92.2,96.4,50.4,49.6,7.9060265577,1.1031664964,1.4708886619,66.7
480,Josh Jooris,26,RW,TOT,0.3641881639,0.7283763278,1.0925644917,-2,16,0.6,4,0,0,0,7,0,1,6.8285280728,5.3,12.20,0.5555555556,0.9074074074,41.608497724,55.447647951,42.9,-2.9,31.684370258,40.424886191,43.9,-1.7,6.9,93.5,100.3,36.7,63.3,10.834597876,0.9104704097,0.4552352049,63
